UID,Longitude,Latitude
54,-122.402635435999970,37.783143834000043
55,-122.402529879999970,37.783168835000026
58,-122.401690991999940,37.783985502000064
64,-122.394413212999950,37.787316058000044
65,-122.394702101999940,37.787321614000064
81,-122.395902101999980,37.788660503000074
82,-122.396057657999960,37.788507725000045
108,-122.395824324999980,37.788643835000073
114,-122.395568769999950,37.786477169000079
118,-122.393902101999970,37.787988280000036
119,-122.393579879999950,37.788071614000046
121,-122.393068769999960,37.788632725000070
122,-122.392857655999990,37.788768836000031
125,-122.392113211999970,37.789557725000066
130,-122.391024323999940,37.790107726000031
138,-122.390946545999950,37.792374392000056
139,-122.391179878999990,37.792621615000030
146,-122.393035435999990,37.793285503000050
150,-122.391968768999960,37.792218836000075
155,-122.392402101999950,37.791341059000047
156,-122.392513213999960,37.791196615000047
160,-122.393446545999950,37.790552169000080
161,-122.393232656999940,37.790585503000045
167,-122.394068768999940,37.789918836000027
183,-122.396190990999970,37.790107725000041
190,-122.398279880999950,37.790791057000035
191,-122.398424323999960,37.791957725000032
196,-122.397471547999940,37.792379947000029
197,-122.397352102999950,37.792418837000071
201,-122.395910435999950,37.791163280000035
218,-122.394213212999940,37.792549391000080
219,-122.393968768999970,37.792566059000080
229,-122.394315991999970,37.794074392000027
237,-122.395946545999950,37.793199392000076
238,-122.396446545999990,37.793293836000032
248,-122.397424325999960,37.793349391000049
250,-122.396502102999990,37.793418837000047
251,-122.396435434999940,37.793691059000025
271,-122.398635435999950,37.792446614000028
272,-122.398682656999990,37.792310503000067
276,-122.399857657999970,37.791974391000053
278,-122.399702102999980,37.791254947000027
281,-122.401102103999960,37.793018836000044
282,-122.401090991999980,37.792921615000068
316,-122.400835435999970,37.790054946000055
320,-122.402007657999950,37.789804947000050
323,-122.402149324999980,37.789127169000039
324,-122.402104881999950,37.789038280000057
338,-122.404268769999990,37.790685503000077
348,-122.404457657999960,37.786496613000054
352,-122.403224324999940,37.787618836000036
353,-122.403179880999970,37.787557725000056
357,-122.403113213999970,37.787143836000041
370,-122.400802102999990,37.787407725000037
371,-122.400690992999960,37.787602169000024
382,-122.402268769999980,37.788977169000077
398,-122.399813213999950,37.788288280000074
410,-122.397646545999980,37.789918836000027
411,-122.397502102999970,37.789729947000069
429,-122.399160434999940,37.790960503000065
430,-122.399113213999950,37.790674391000039
431,-122.399202101999950,37.790766058000031
437,-122.400313213999990,37.790013280000039
448,-122.403879881999960,37.798324391000051
449,-122.403924326999970,37.798093836000078
